mineral,anio,empresa,propietarios,capital,ubicacion,capacidad,unidad_capacidad,fuente,nota
oro,2009,Great Panther Silver Ltd.,Great Panther Silver Ltd. 100%,canadiense,"Guanajuato, Gto.",438,kg,"USGS MYB Mexico 2009, Tabla 2, PDF p.11",oro de mina; CAMBIO: operador ahora Great Panther Silver (antes Coop. Santa Fe de Guanajuato)
oro,2009,"Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Torreón, Coah.",22700,kg,"USGS MYB Mexico 2009, Tabla 2, PDF p.11",oro REFINADO
plata,2009,Fresnillo plc,"Industrias Peñoles, S.A.B. de C.V. 77.1%",privado mexicano,"Mina Proaño (Fresnillo), Zac.",1100000,kg,"USGS MYB Mexico 2009, Tabla 2, PDF p.12",plata de mina; entidad Fresnillo plc
plata,2009,"Minera Mexicana La Ciénega, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina La Ciénega, Dgo.",65800,kg,"USGS MYB Mexico 2009, Tabla 2, PDF p.12",plata de mina
plata,2009,"Minera Bismark, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Bismark, Chih.",7000,kg,"USGS MYB Mexico 2009, Tabla 2, PDF p.12",plata de mina
plata,2009,"Co. Minera Sabinas, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Sabinas, Zac.",157000,kg,"USGS MYB Mexico 2009, Tabla 2, PDF p.12",plata de mina
plata,2009,"Minera Tizapa, S.A. de C.V.","Industrias Peñoles, S.A.B. de C.V. 51%; Dowa Holdings Co. Ltd. 39%; Sumitomo Corp. 10%",privado mexicano,"Mina Tizapa, Méx.",140000,kg,"USGS MYB Mexico 2009, Tabla 2, PDF p.12",plata de mina; detalle accionario ampliado
plata,2009,"Minas Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 50%",privado mexicano,"Mina Francisco I. Madero, Zac.",63000,kg,"USGS MYB Mexico 2009, Tabla 2, PDF p.12",plata de mina
plata,2009,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A. de C.V. 90%",privado mexicano,"San Martín, Sombrerete, Zac.; Taxco, Gro.; Charcas, S.L.P.; Santa Eulalia, Chih.; refinería en Monterrey, N.L.",335000,kg,"USGS MYB Mexico 2009, Tabla 2, PDF p.12",plata de mina
plata,2009,Pan American Silver Corp.,Pan American Silver Corp.,canadiense,"Mina La Colorada, Zac.; Alamo Dorado, Son.",100000,kg,"USGS MYB Mexico 2009, Tabla 2, PDF p.12",plata de mina
plata,2009,"Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Torreón, Coah.",2900000,kg,"USGS MYB Mexico 2009, Tabla 2, PDF p.12",plata REFINADA (refinería)
plata,2009,"Mexicana de Cobre, S.A. de C.V.","Grupo México, S.A. de C.V. 90%",privado mexicano,"Complejo metalúrgico La Caridad, Son.",466500,kg,"USGS MYB Mexico 2009, Tabla 2, PDF p.12",plata de subproducto/refinería
plomo-zinc,2009,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Charcas, S.L.P.; San Martín, Zac.; Santa Eulalia, Chih.; Taxco, Gro.; Rosario, Sin.; Santa Bárbara, Chih.; Velardeña, Dgo.; refinería de plomo en Monterrey y de zinc en S.L.P.",70 plomo mina; 110 zinc refinado,miles t,"USGS MYB Mexico 2009, Tabla 2, PDF p.11",
plomo-zinc,2009,"Industrias Peñoles, S.A. de C.V.",privado mexicano 97%; privado estadounidense 3%,privado mexicano,"Minas La Encantada, Coah.; Fresnillo, Zac.; Naica, Chih.; Bismark, Son.; Rey de Plata, Gro. (Peñoles 51%, Dowa Mining Co. 39%); complejo metalúrgico en Torreón, Coah.",180 plomo refinado; 240 zinc refinado,miles t,"USGS MYB Mexico 2009, Tabla 2, PDF p.11",
plomo-zinc,2009,"Industrias Peñoles, S.A. de C.V. (Francisco I. Madero)",privado mexicano 97%; privado estadounidense 3%,privado mexicano,"Mina Francisco I. Madero, Zac.","100,000 zinc",t,"USGS MYB Mexico 2009, Tabla 2, PDF p.12",
plomo-zinc,2009,"Minera San Francisco del Oro, S.A. de C.V.","Empresas Frisco, S.A. de C.V. 100%",privado mexicano,"San Francisco del Oro, cerca de Hidalgo del Parral, Chih.",15 plomo; 21 zinc,miles t,"USGS MYB Mexico 2009, Tabla 2, PDF p.12",
barita,2010,"Barita de Sonora, S.A.","Grupo Acerero del Norte, S.A. de C.V. (GAN) 100%",privado mexicano,"Mazatán, Son.",219,miles t,"USGS MYB Mexico 2010, Tabla 2, PDF p.10",
barita,2010,"Minerales y Arcillas, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Mina San Francisco del Huerto en San Pedro, Coah.; minas La Escondida y Angelita y planta en Galeana",55,miles t,"USGS MYB Mexico 2010, Tabla 2, PDF p.10",
barita,2010,"Barita de Santa Rosa, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Múzquiz, Coah.",256,miles t,"USGS MYB Mexico 2010, Tabla 2, PDF p.10",
cobre,2010,"Mexicana de Cobre, S.A.B. de C.V.","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Mina La Caridad, fundición, refinería, planta SX-EW y de alambrón en Nacozari de García, Son.",350 fundición; 50 SX-EW; 300 refinería; 150 alambrón,miles t,"USGS MYB Mexico 2010, Tabla 2, PDF p.10",
cobre,2010,"Mexicana de Cananea, S.A.B. de C.V.","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Mina y planta SX-EW en Cananea, Son.","29,200 molienda; 33 SX-EW",miles t,"USGS MYB Mexico 2010, Tabla 2, PDF p.10",
cobre,2010,"Minera María, S.A. de C.V.",Grupo Frisco 100%,privado mexicano,"Mina y planta SX-EW en Cananea, Son.",20 SX-EW,miles t,"USGS MYB Mexico 2010, Tabla 2, PDF p.10",
cobre,2010,"Cobre de México, S.A. de C.V.",Grupo Condumex,privado mexicano,"Refinería primaria en Ciudad de México y refinería secundaria en Villagrán, Gto.",150,miles t,"USGS MYB Mexico 2010, Tabla 2, PDF p.10","refinería, no mina"
fluorita,2010,"Cía. Minera Las Cuevas, S.A. de C.V.","Mexichem, S.A. de C.V.",privado mexicano,"Salitrera (Zaragoza), S.L.P.",520,miles t,"USGS MYB Mexico 2010, Tabla 2, PDF p.10",
fluorita,2010,"Fluorita de México, S.A. de C.V.",Corp. Alfil 51%; Applied Industrial Minerals Corp. 49%,mixto mexicano-estadounidense,"Minas en distrito La Encantada y planta en Múzquiz, Coah.",150,miles t,"USGS MYB Mexico 2010, Tabla 2, PDF p.10",
grafito,2010,"Grafitos Mexicanos, S.A.",Cummings Moore Graphite Co. (EUA) 25%; privado mexicano 75%,mixto mexicano-estadounidense,"Minas Lourdes y San Francisco, Son.",60,miles t,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",
grafito,2010,"Grafito Superior, S.A. de C.V.",Superior Graphite Co. 100%,estadounidense,"Minas Covalmar, Santa Clara y Río Mayo y planta en Son.",25,miles t,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",
manganeso,2010,"Cía. Minera Autlán, S.A. de C.V.","Grupo Ferrominero, S.A. de C.V. 81.75%; privado mexicano 18.25%",privado mexicano,"Minas Molango, Naopa y Nonoalco, Hgo.",600,miles t,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",capacidad en mineral y concentrado
oro,2010,Fresnillo plc,"Industrias Peñoles, S.A.B. de C.V. 77.1%",privado mexicano,"Mina Proaño (Fresnillo), Zac.",1200,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",oro de mina
oro,2010,"Minas de las Altas Pimerías, S.A. de C.V.",Goldcorp Inc. 100%,canadiense,"Mina El Sauzal, Chih.",10000,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",oro de mina
oro,2010,Fresnillo plc 56% y Newmont Mining Corporation,Fresnillo plc 56%; Newmont Mining Corporation 44%,mixto mexicano-estadounidense,"Mina La Herradura, Son.",6900,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",oro de mina
oro,2010,"Luismín, S.A. de C.V.",Goldcorp Inc. 100%,canadiense,"Mina San Dimas, Dgo. (dos minas)",6500,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",oro de mina
oro,2010,"Gammon Lake de México, S.A. de C.V.",Gammon Lake Resources Inc. 100%,canadiense,"Mina Ocampo, Chih.",5000,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",oro de mina
oro,2010,"Minera Mexicana La Ciénega, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina La Ciénega, Dgo.",4500,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",oro de mina
oro,2010,Animas Resources Ltd.,Animas Resources Ltd. 100%,canadiense,"Mina Santa Gertrudis, Son.",1600,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",oro de mina
oro,2010,"Cía. Minera El Cubo, S.A. de C.V.",Gammon Lake Resources Inc. 100%,canadiense,"Mina El Cubo, Gto.",1200,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",oro de mina
oro,2010,Pediment Gold Corp.,Pediment Gold Corp. 100%,canadiense,"Mina La Colorada, Son.",800,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",oro de mina
oro,2010,Alamos Gold Inc.,Alamos Gold Inc.,canadiense,"Mina Mulatos, Son.",4700,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",oro de mina
oro,2010,Great Panther Silver Ltd.,Great Panther Silver Ltd. 100%,canadiense,"Guanajuato, Gto.",438,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",oro de mina
oro,2010,"Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Torreón, Coah.",22700,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",oro REFINADO
plata,2010,Fresnillo plc,"Industrias Peñoles, S.A.B. de C.V. 77.1%",privado mexicano,"Mina Proaño (Fresnillo), Zac.",1100000,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.12",plata de mina; entidad Fresnillo plc
plata,2010,"Minera Mexicana La Ciénega, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina La Ciénega, Dgo.",65800,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.12",plata de mina
plata,2010,"Minera Bismark, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Bismark, Chih.",7000,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.12",plata de mina
plata,2010,"Co. Minera Sabinas, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Sabinas, Zac.",157000,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.12",plata de mina
plata,2010,"Minera Tizapa, S.A. de C.V.","Industrias Peñoles, S.A.B. de C.V. 51%; Dowa Holdings Co. Ltd. 39%; Sumitomo Corp. 10%",privado mexicano,"Mina Tizapa, Méx.",140000,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.12",plata de mina; detalle accionario ampliado
plata,2010,"Minas Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 50%",privado mexicano,"Mina Francisco I. Madero, Zac.",63000,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.12",plata de mina
plata,2010,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A. de C.V. 90%",privado mexicano,"San Martín, Sombrerete, Zac.; Taxco, Gro.; Charcas, S.L.P.; Santa Eulalia, Chih.; refinería en Monterrey, N.L.",335000,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.12",plata de mina
plata,2010,Pan American Silver Corp.,Pan American Silver Corp.,canadiense,"Mina La Colorada, Zac.; Alamo Dorado, Son.",100000,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.12",plata de mina
plata,2010,"Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Torreón, Coah.",2900000,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.12",plata REFINADA (refinería)
plata,2010,"Mexicana de Cobre, S.A. de C.V.","Grupo México, S.A. de C.V. 90%",privado mexicano,"Complejo metalúrgico La Caridad, Son.",466500,kg,"USGS MYB Mexico 2010, Tabla 2, PDF p.12",plata de subproducto/refinería
plomo-zinc,2010,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Charcas, S.L.P.; San Martín, Zac.; Santa Eulalia, Chih.; Taxco, Gro.; Rosario, Sin.; Santa Bárbara, Chih.; Velardeña, Dgo.; refinería de plomo en Monterrey y de zinc en S.L.P.",70 plomo mina; 110 zinc refinado,miles t,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",
plomo-zinc,2010,"Industrias Peñoles, S.A. de C.V.",privado mexicano 97%; privado estadounidense 3%,privado mexicano,"Minas La Encantada, Coah.; Fresnillo, Zac.; Naica, Chih.; Bismark, Son.; Rey de Plata, Gro. (Peñoles 51%, Dowa Mining Co. 39%); complejo metalúrgico en Torreón, Coah.",180 plomo refinado; 240 zinc refinado,miles t,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",
plomo-zinc,2010,"Industrias Peñoles, S.A. de C.V. (Francisco I. Madero)",privado mexicano 97%; privado estadounidense 3%,privado mexicano,"Mina Francisco I. Madero, Zac.","100,000 zinc",t,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",
plomo-zinc,2010,"Minera San Francisco del Oro, S.A. de C.V.","Empresas Frisco, S.A. de C.V. 100%",privado mexicano,"San Francisco del Oro, cerca de Hidalgo del Parral, Chih.",15 plomo; 21 zinc,miles t,"USGS MYB Mexico 2010, Tabla 2, PDF p.11",
barita,2011,"Barita de Sonora, S.A.","Grupo Acerero del Norte, S.A. de C.V. (GAN) 100%",privado mexicano,"Mazatán, Son.",219,miles t,"USGS MYB Mexico 2011, Tabla 2, PDF p.10",
barita,2011,"Minerales y Arcillas, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Mina San Francisco del Huerto en San Pedro, Coah.; minas La Escondida y Angelita y planta en Galeana",55,miles t,"USGS MYB Mexico 2011, Tabla 2, PDF p.10",
barita,2011,"Barita de Santa Rosa, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Múzquiz, Coah.",256,miles t,"USGS MYB Mexico 2011, Tabla 2, PDF p.10",
cobre,2011,"Mexicana de Cobre, S.A.B. de C.V.","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Mina La Caridad, fundición, refinería, planta SX-EW y de alambrón en Nacozari de García, Son.",350 fundición; 50 SX-EW; 300 refinería; 150 alambrón,miles t,"USGS MYB Mexico 2011, Tabla 2, PDF p.10",
cobre,2011,"Mexicana de Cananea, S.A.B. de C.V.","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Mina y planta SX-EW en Cananea, Son.","29,200 molienda; 33 SX-EW",miles t,"USGS MYB Mexico 2011, Tabla 2, PDF p.10",
cobre,2011,"Minera María, S.A. de C.V.",Grupo Frisco 100%,privado mexicano,"Mina y planta SX-EW en Cananea, Son.",20 SX-EW,miles t,"USGS MYB Mexico 2011, Tabla 2, PDF p.10",
cobre,2011,"Cobre de México, S.A. de C.V.",Grupo Condumex,privado mexicano,"Refinería primaria en Ciudad de México y refinería secundaria en Villagrán, Gto.",150,miles t,"USGS MYB Mexico 2011, Tabla 2, PDF p.10","refinería, no mina"
fluorita,2011,"Cía. Minera Las Cuevas, S.A. de C.V.","Mexichem, S.A. de C.V.",privado mexicano,"Salitrera (Zaragoza), S.L.P.",520,miles t,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",
fluorita,2011,"Fluorita de México, S.A. de C.V.",Corp. Alfil 51%; Applied Industrial Minerals Corp. 49%,mixto mexicano-estadounidense,"Minas en distrito La Encantada y planta en Múzquiz, Coah.",150,miles t,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",
grafito,2011,"Grafitos Mexicanos, S.A.",Cummings Moore Graphite Co. (EUA) 25%; privado mexicano 75%,mixto mexicano-estadounidense,"Minas Lourdes y San Francisco, Son.",60,miles t,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",
grafito,2011,"Grafito Superior, S.A. de C.V.",Superior Graphite Co. 100%,estadounidense,"Minas Covalmar, Santa Clara y Río Mayo y planta en Son.",25,miles t,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",
manganeso,2011,"Cía. Minera Autlán, S.A. de C.V.","Grupo Ferrominero, S.A. de C.V. 81.75%; privado mexicano 18.25%",privado mexicano,"Minas Molango, Naopa y Nonoalco, Hgo.",600,miles t,"USGS MYB Mexico 2011, Tabla 2, PDF p.12",capacidad en mineral y concentrado
oro,2011,Fresnillo plc,"Industrias Peñoles, S.A.B. de C.V. 77.1%",privado mexicano,"Mina Proaño (Fresnillo), Zac.",1200,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",oro de mina
oro,2011,"Minas de las Altas Pimerías, S.A. de C.V.",Goldcorp Inc. 100%,canadiense,"Mina El Sauzal, Chih.",10000,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",oro de mina
oro,2011,Fresnillo plc 56% y Newmont Mining Corporation,Fresnillo plc 56%; Newmont Mining Corporation 44%,mixto mexicano-estadounidense,"Mina La Herradura, Son.",6900,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",oro de mina
oro,2011,"Luismín, S.A. de C.V.",Goldcorp Inc. 100%,canadiense,"Mina San Dimas, Dgo. (dos minas)",6500,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",oro de mina
oro,2011,"Gammon Lake de México, S.A. de C.V.",Gammon Lake Resources Inc. 100%,canadiense,"Mina Ocampo, Chih.",5000,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",oro de mina
oro,2011,"Minera Mexicana La Ciénega, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina La Ciénega, Dgo.",4500,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",oro de mina
oro,2011,Animas Resources Ltd.,Animas Resources Ltd. 100%,canadiense,"Mina Santa Gertrudis, Son.",1600,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",oro de mina
oro,2011,"Cía. Minera El Cubo, S.A. de C.V.",Gammon Lake Resources Inc. 100%,canadiense,"Mina El Cubo, Gto.",1200,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",oro de mina
oro,2011,Pediment Gold Corp.,Pediment Gold Corp. 100%,canadiense,"Mina La Colorada, Son.",800,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",oro de mina
oro,2011,Alamos Gold Inc.,Alamos Gold Inc.,canadiense,"Mina Mulatos, Son.",4700,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",oro de mina
oro,2011,Great Panther Silver Ltd.,Great Panther Silver Ltd. 100%,canadiense,"Guanajuato, Gto.",438,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",oro de mina
oro,2011,"Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Torreón, Coah.",22700,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",oro REFINADO
plata,2011,Fresnillo plc,"Industrias Peñoles, S.A.B. de C.V. 77.1%",privado mexicano,"Mina Proaño (Fresnillo), Zac.",1100000,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.12",plata de mina; entidad Fresnillo plc
plata,2011,"Minera Mexicana La Ciénega, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina La Ciénega, Dgo.",65800,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.12",plata de mina
plata,2011,"Minera Bismark, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Bismark, Chih.",7000,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.12",plata de mina
plata,2011,"Co. Minera Sabinas, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Sabinas, Zac.",157000,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.12",plata de mina
plata,2011,"Minera Tizapa, S.A. de C.V.","Industrias Peñoles, S.A.B. de C.V. 51%; Dowa Holdings Co. Ltd. 39%; Sumitomo Corp. 10%",privado mexicano,"Mina Tizapa, Méx.",140000,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.12",plata de mina; detalle accionario ampliado
plata,2011,"Minas Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 50%",privado mexicano,"Mina Francisco I. Madero, Zac.",63000,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.12",plata de mina
plata,2011,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A. de C.V. 90%",privado mexicano,"San Martín, Sombrerete, Zac.; Taxco, Gro.; Charcas, S.L.P.; Santa Eulalia, Chih.; refinería en Monterrey, N.L.",335000,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.12",plata de mina
plata,2011,Pan American Silver Corp.,Pan American Silver Corp.,canadiense,"Mina La Colorada, Zac.; Alamo Dorado, Son.",200000,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.12","plata de mina; capacidad sube de 100,000 a 200,000"
plata,2011,"Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Torreón, Coah.",2900000,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.12",plata REFINADA (refinería)
plata,2011,"Mexicana de Cobre, S.A. de C.V.","Grupo México, S.A. de C.V. 90%",privado mexicano,"Complejo metalúrgico La Caridad, Son.",466500,kg,"USGS MYB Mexico 2011, Tabla 2, PDF p.12",plata de subproducto/refinería
plomo-zinc,2011,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Charcas, S.L.P.; San Martín, Zac.; Santa Eulalia, Chih.; Taxco, Gro.; Rosario, Sin.; Santa Bárbara, Chih.; Velardeña, Dgo.; refinería de plomo en Monterrey y de zinc en S.L.P.",70 plomo mina; 110 zinc refinado,miles t,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",
plomo-zinc,2011,"Industrias Peñoles, S.A. de C.V.",privado mexicano 97%; privado estadounidense 3%,privado mexicano,"Minas La Encantada, Coah.; Fresnillo, Zac.; Naica, Chih.; Bismark, Son.; Rey de Plata, Gro. (Peñoles 51%, Dowa Mining Co. 39%); complejo metalúrgico en Torreón, Coah.",180 plomo refinado; 240 zinc refinado,miles t,"USGS MYB Mexico 2011, Tabla 2, PDF p.11",
plomo-zinc,2011,"Industrias Peñoles, S.A. de C.V. (Francisco I. Madero)",privado mexicano 97%; privado estadounidense 3%,privado mexicano,"Mina Francisco I. Madero, Zac.","100,000 zinc",t,"USGS MYB Mexico 2011, Tabla 2, PDF p.12",
plomo-zinc,2011,"Minera San Francisco del Oro, S.A. de C.V.","Empresas Frisco, S.A. de C.V. 100%",privado mexicano,"San Francisco del Oro, cerca de Hidalgo del Parral, Chih.",15 plomo; 21 zinc,miles t,"USGS MYB Mexico 2011, Tabla 2, PDF p.12",
barita,2012,"Barita de Sonora, S.A.","Grupo Acerero del Norte, S.A. de C.V. (GAN) 100%",privado mexicano,"Mazatán, Son.",219,miles t,"USGS MYB Mexico 2012, Tabla 2, PDF p.12",
barita,2012,"Minerales y Arcillas, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Mina San Francisco del Huerto en San Pedro, Coah.; minas La Escondida y Angelita y planta en Galeana",55,miles t,"USGS MYB Mexico 2012, Tabla 2, PDF p.12",
barita,2012,"Barita de Santa Rosa, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Múzquiz, Coah.",256,miles t,"USGS MYB Mexico 2012, Tabla 2, PDF p.12",
cobre,2012,"Mexicana de Cobre, S.A.B. de C.V.","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Mina La Caridad, fundición, refinería, planta SX-EW y de alambrón en Nacozari de García, Son.",350 fundición; 50 SX-EW; 300 refinería; 150 alambrón,miles t,"USGS MYB Mexico 2012, Tabla 2, PDF p.12",
cobre,2012,"Mexicana de Cananea, S.A.B. de C.V.","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Mina y planta SX-EW en Cananea, Son.","29,200 molienda; 33 SX-EW",miles t,"USGS MYB Mexico 2012, Tabla 2, PDF p.12",
cobre,2012,"Minera María, S.A. de C.V.",Grupo Frisco 100%,privado mexicano,"Mina y planta SX-EW en Cananea, Son.",20 SX-EW,miles t,"USGS MYB Mexico 2012, Tabla 2, PDF p.12",
cobre,2012,"Cobre de México, S.A. de C.V.",Grupo Condumex,privado mexicano,"Refinería primaria en Ciudad de México y refinería secundaria en Villagrán, Gto.",150,miles t,"USGS MYB Mexico 2012, Tabla 2, PDF p.12","refinería, no mina"
fluorita,2012,"Cía. Minera Las Cuevas, S.A. de C.V.","Mexichem, S.A. de C.V.",privado mexicano,"Salitrera (Zaragoza), S.L.P.",520,miles t,"USGS MYB Mexico 2012, Tabla 2, PDF p.13",
fluorita,2012,"Fluorita de México, S.A. de C.V.","Mexichem, S.A. de C.V.",privado mexicano,"Minas en distrito La Encantada y planta en Múzquiz, Coah.",150,miles t,"USGS MYB Mexico 2012, Tabla 2, PDF p.13",CAMBIO CLAVE: USGS MYB 2012 ya lista Fluorita de México bajo Mexichem (antes Corp. Alfil 51%/Applied Industrial Minerals 49%). DISCREPANCIA de fecha: CAMIMEX (Informe 2013) fecha la adquisicion en enero 2013; USGS la refleja en el ano-dato 2012. Implica que ambos productores de fluorita (Las Cuevas + Fluorita de Mexico) quedan bajo Mexichem => fluorita pasa de duopolio a monopolio de grupo
grafito,2012,"Grafitos Mexicanos, S.A.",Cummings Moore Graphite Co. (EUA) 25%; privado mexicano 75%,mixto mexicano-estadounidense,"Minas Lourdes y San Francisco, Son.",60,miles t,"USGS MYB Mexico 2012, Tabla 2, PDF p.13",
grafito,2012,"Grafito Superior, S.A. de C.V.",Superior Graphite Co. 100%,estadounidense,"Minas Covalmar, Santa Clara y Río Mayo y planta en Son.",25,miles t,"USGS MYB Mexico 2012, Tabla 2, PDF p.13",
manganeso,2012,"Cía. Minera Autlán, S.A. de C.V.","Grupo Ferrominero, S.A. de C.V. 81.75%; privado mexicano 18.25%",privado mexicano,"Minas Molango, Naopa y Nonoalco, Hgo.",600,miles t,"USGS MYB Mexico 2012, Tabla 2, PDF p.14",capacidad en mineral y concentrado
oro,2012,Fresnillo plc,"Industrias Peñoles, S.A.B. de C.V. 77.1%",privado mexicano,"Mina Proaño (Fresnillo), Zac.",1200,kg,"USGS MYB Mexico 2012, Tabla 2, PDF p.13",oro de mina
oro,2012,"Minas de las Altas Pimerías, S.A. de C.V.",Goldcorp Inc. 100%,canadiense,"Mina El Sauzal, Chih.",10000,kg,"USGS MYB Mexico 2012, Tabla 2, PDF p.13",oro de mina
oro,2012,Fresnillo plc 56% y Newmont Mining Corporation,Fresnillo plc 56%; Newmont Mining Corporation 44%,mixto mexicano-estadounidense,"Mina La Herradura, Son.",6900,kg,"USGS MYB Mexico 2012, Tabla 2, PDF p.13",oro de mina
oro,2012,"Luismín, S.A. de C.V.",Goldcorp Inc. 100%,canadiense,"Mina San Dimas, Dgo. (dos minas)",6500,kg,"USGS MYB Mexico 2012, Tabla 2, PDF p.13",oro de mina
