mineral,etapa,flujo,pais,m49,valor_usd_2019_2024,share
oro,E2 Bruto/semilabrado,X,Canada,124,142216398.0,0.006
oro,E2 Bruto/semilabrado,X,Italia,380,106333253.0,0.0045
oro,E2 Bruto/semilabrado,X,Turquia,792,25910551.0,0.0011
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Estados Unidos,842,995883885.0,0.2531
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Turquia,792,811741824.0,0.2063
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Italia,380,801606869.0,0.2038
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Tailandia,764,467241843.0,0.1188
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,China,156,197124007.0,0.0501
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Espana,724,180900938.0,0.046
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,socio_699,699,131952452.0,0.0335
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Indonesia,360,115505162.0,0.0294
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,socio_757,757,65453281.0,0.0166
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,socio_251,251,55217884.0,0.014
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Hong Kong,344,26936964.0,0.0068
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Alemania,276,25007858.0,0.0064
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,socio_300,300,12996534.0,0.0033
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Brasil,76,10518513.0,0.0027
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Corea del Sur,410,10026450.0,0.0025
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Reino Unido,826,7800556.0,0.002
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Vietnam,704,4757481.0,0.0012
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Canada,124,4437711.0,0.0011
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Peru,604,4173357.0,0.0011
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,socio_490,490,1544775.0,0.0004
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Singapur,702,1100818.0,0.0003
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Japon,392,817351.0,0.0002
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Australia,36,312670.0,0.0001
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,socio_591,591,288793.0,0.0001
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,El Salvador,222,163896.0,0.0
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Belgica,56,163702.0,0.0
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,socio_214,214,155880.0,0.0
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Colombia,170,137768.0,0.0
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,Sudafrica,710,61120.0,0.0
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,socio_376,376,39829.0,0.0
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,socio_620,620,26792.0,0.0
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,socio_899,899,18336.0,0.0
oro-plata (manufacturas),E4 Joyeria/orfebreria,M,socio_100,100,7520.0,0.0
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,Estados Unidos,842,2335935876.0,0.9004
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,Canada,124,127104071.0,0.049
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,Reino Unido,826,68158396.0,0.0263
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,socio_251,251,10396041.0,0.004
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,socio_757,757,9189124.0,0.0035
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,Guatemala,320,7290455.0,0.0028
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,socio_591,591,6302170.0,0.0024
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,Espana,724,6171258.0,0.0024
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,Italia,380,5459026.0,0.0021
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,Australia,36,4254801.0,0.0016
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,Colombia,170,3321444.0,0.0013
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,Alemania,276,2089421.0,0.0008
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,Chile,152,1585718.0,0.0006
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,Japon,392,1331530.0,0.0005
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,El Salvador,222,899676.0,0.0003
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,socio_899,899,869254.0,0.0003
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,Hong Kong,344,861490.0,0.0003
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,socio_218,218,708696.0,0.0003
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,socio_340,340,684014.0,0.0003
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,socio_796,796,583180.0,0.0002
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,socio_188,188,411437.0,0.0002
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,socio_68,68,168547.0,0.0001
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,Paises Bajos,528,167303.0,0.0001
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,socio_214,214,113666.0,0.0
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,Nueva Zelanda,554,81880.0,0.0
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,socio_752,752,61137.0,0.0
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,socio_490,490,21676.0,0.0
oro-plata (manufacturas),E4 Joyeria/orfebreria,X,Irlanda,372,11811.0,0.0
plata,E1 Mena/concentrado,M,Canada,124,8251178.0,0.9959
plata,E1 Mena/concentrado,M,Nueva Zelanda,554,20318.0,0.0025
plata,E1 Mena/concentrado,M,Estados Unidos,842,8552.0,0.001
plata,E1 Mena/concentrado,M,Australia,36,4969.0,0.0006
plata,E1 Mena/concentrado,X,Corea del Sur,410,250721122.0,0.397
plata,E1 Mena/concentrado,X,Alemania,276,207746456.0,0.329
plata,E1 Mena/concentrado,X,China,156,90075414.0,0.1426
plata,E1 Mena/concentrado,X,socio_100,100,51727641.0,0.0819
plata,E1 Mena/concentrado,X,Canada,124,15998822.0,0.0253
plata,E1 Mena/concentrado,X,Estados Unidos,842,12537974.0,0.0199
plata,E1 Mena/concentrado,X,Malasia,458,2657793.0,0.0042
plata,E2 Bruto/semilabrado,M,Estados Unidos,842,539618797.0,0.8943
plata,E2 Bruto/semilabrado,M,Japon,392,19679015.0,0.0326
plata,E2 Bruto/semilabrado,M,Canada,124,17820651.0,0.0295
plata,E2 Bruto/semilabrado,M,socio_251,251,10796343.0,0.0179
plata,E2 Bruto/semilabrado,M,Italia,380,4121412.0,0.0068
plata,E2 Bruto/semilabrado,M,Alemania,276,3755990.0,0.0062
plata,E2 Bruto/semilabrado,M,China,156,3149223.0,0.0052
plata,E2 Bruto/semilabrado,M,Reino Unido,826,2989573.0,0.005
plata,E2 Bruto/semilabrado,M,Corea del Sur,410,360267.0,0.0006
plata,E2 Bruto/semilabrado,M,Paises Bajos,528,294599.0,0.0005
plata,E2 Bruto/semilabrado,M,socio_699,699,294065.0,0.0005
plata,E2 Bruto/semilabrado,M,Espana,724,261678.0,0.0004
plata,E2 Bruto/semilabrado,M,Malasia,458,249056.0,0.0004
plata,E2 Bruto/semilabrado,M,Hungria,348,3322.0,0.0
plata,E2 Bruto/semilabrado,M,socio_490,490,2356.0,0.0
plata,E2 Bruto/semilabrado,X,Estados Unidos,842,15741522514.0,0.9826
plata,E2 Bruto/semilabrado,X,socio_757,757,258233156.0,0.0161
plata,E2 Bruto/semilabrado,X,Brasil,76,9483028.0,0.0006
plata,E2 Bruto/semilabrado,X,Canada,124,9296296.0,0.0006
plata,E2 Bruto/semilabrado,X,Italia,380,1205544.0,0.0001
plata,E2 Bruto/semilabrado,X,socio_699,699,344901.0,0.0
plata,E2 Bruto/semilabrado,X,socio_192,192,36998.0,0.0
plata,E2 Bruto/semilabrado,X,El Salvador,222,6097.0,0.0
plomo,E1 Mena/concentrado,M,Estados Unidos,842,139884527.0,1.0
plomo,E1 Mena/concentrado,X,China,156,4203071145.0,0.6497
plomo,E1 Mena/concentrado,X,Corea del Sur,410,1716256104.0,0.2653
plomo,E1 Mena/concentrado,X,Belgica,56,289408608.0,0.0447
plomo,E1 Mena/concentrado,X,socio_757,757,158938853.0,0.0246
plomo,E1 Mena/concentrado,X,Japon,392,101730566.0,0.0157
plomo,E2 Metal en bruto/refinado,M,Estados Unidos,842,203292650.0,1.0
plomo,E2 Metal en bruto/refinado,X,Estados Unidos,842,718386256.0,0.8393
plomo,E2 Metal en bruto/refinado,X,Brasil,76,111469971.0,0.1302
plomo,E2 Metal en bruto/refinado,X,Corea del Sur,410,16091591.0,0.0188
plomo,E2 Metal en bruto/refinado,X,socio_757,757,4694324.0,0.0055
plomo,E2 Metal en bruto/refinado,X,Singapur,702,2028941.0,0.0024
plomo,E2 Metal en bruto/refinado,X,Japon,392,1619068.0,0.0019
plomo,E2 Metal en bruto/refinado,X,socio_699,699,867175.0,0.001
plomo,E2 Metal en bruto/refinado,X,Belgica,56,491526.0,0.0006
plomo,E2 Metal en bruto/refinado,X,Espana,724,265334.0,0.0003
plomo,E3 Semimanufacturas,M,Estados Unidos,842,4341412.0,0.8945
plomo,E3 Semimanufacturas,M,Alemania,276,477666.0,0.0984
plomo,E3 Semimanufacturas,M,Canada,124,32226.0,0.0066
plomo,E3 Semimanufacturas,M,China,156,2019.0,0.0004
plomo,E3 Semimanufacturas,X,Estados Unidos,842,2722328.0,0.9991
plomo,E3 Semimanufacturas,X,Guatemala,320,2437.0,0.0009
plomo,E4 Manufacturas,X,Estados Unidos,842,5265245.0,0.9329
plomo,E4 Manufacturas,X,Guatemala,320,313627.0,0.0556
plomo,E4 Manufacturas,X,El Salvador,222,65145.0,0.0115
silice,E1 Arena silica/cuarzo,M,Estados Unidos,842,493512477.0,0.9745
silice,E1 Arena silica/cuarzo,M,China,156,9120339.0,0.018
silice,E1 Arena silica/cuarzo,M,Alemania,276,1070433.0,0.0021
silice,E1 Arena silica/cuarzo,M,Italia,380,1047735.0,0.0021
silice,E1 Arena silica/cuarzo,M,Espana,724,752757.0,0.0015
silice,E1 Arena silica/cuarzo,M,Brasil,76,362269.0,0.0007
silice,E1 Arena silica/cuarzo,M,socio_699,699,257815.0,0.0005
silice,E1 Arena silica/cuarzo,M,Belgica,56,101524.0,0.0002
silice,E1 Arena silica/cuarzo,M,socio_251,251,82502.0,0.0002
silice,E1 Arena silica/cuarzo,M,Canada,124,73273.0,0.0001
silice,E1 Arena silica/cuarzo,M,socio_752,752,8972.0,0.0
silice,E1 Arena silica/cuarzo,M,socio_450,450,8127.0,0.0
silice,E1 Arena silica/cuarzo,M,Reino Unido,826,3137.0,0.0
silice,E1 Arena silica/cuarzo,M,socio_490,490,906.0,0.0
silice,E1 Arena silica/cuarzo,X,Estados Unidos,842,12853664.0,0.9304
silice,E1 Arena silica/cuarzo,X,Guatemala,320,726427.0,0.0526
silice,E1 Arena silica/cuarzo,X,Colombia,170,55680.0,0.004
silice,E1 Arena silica/cuarzo,X,socio_214,214,52403.0,0.0038
silice,E1 Arena silica/cuarzo,X,Chile,152,40921.0,0.003
silice,E1 Arena silica/cuarzo,X,El Salvador,222,40610.0,0.0029
silice,E1 Arena silica/cuarzo,X,Brasil,76,34238.0,0.0025
silice,E1 Arena silica/cuarzo,X,Peru,604,6851.0,0.0005
silice,E1 Arena silica/cuarzo,X,socio_188,188,3303.0,0.0002
silice,E1 Arena silica/cuarzo,X,socio_591,591,1371.0,0.0001
silice,E1 Arena silica/cuarzo,X,Italia,380,164.0,0.0
silice,E2 Silicio/ferrosilicio/SiO2,M,China,156,798818963.0,0.4827
silice,E2 Silicio/ferrosilicio/SiO2,M,Estados Unidos,842,571483619.0,0.3454
silice,E2 Silicio/ferrosilicio/SiO2,M,Canada,124,62057855.0,0.0375
silice,E2 Silicio/ferrosilicio/SiO2,M,socio_643,643,58953722.0,0.0356
silice,E2 Silicio/ferrosilicio/SiO2,M,Brasil,76,48196988.0,0.0291
silice,E2 Silicio/ferrosilicio/SiO2,M,Alemania,276,40904832.0,0.0247
silice,E2 Silicio/ferrosilicio/SiO2,M,Reino Unido,826,25346520.0,0.0153
silice,E2 Silicio/ferrosilicio/SiO2,M,Japon,392,18359218.0,0.0111
silice,E2 Silicio/ferrosilicio/SiO2,M,Tailandia,764,14882537.0,0.009
silice,E2 Silicio/ferrosilicio/SiO2,M,socio_699,699,4277483.0,0.0026
silice,E2 Silicio/ferrosilicio/SiO2,M,Corea del Sur,410,3853832.0,0.0023
silice,E2 Silicio/ferrosilicio/SiO2,M,socio_490,490,3505650.0,0.0021
silice,E2 Silicio/ferrosilicio/SiO2,M,Espana,724,1441028.0,0.0009
silice,E2 Silicio/ferrosilicio/SiO2,M,socio_251,251,1086758.0,0.0007
silice,E2 Silicio/ferrosilicio/SiO2,M,Paises Bajos,528,762310.0,0.0005
silice,E2 Silicio/ferrosilicio/SiO2,M,Italia,380,499103.0,0.0003
silice,E2 Silicio/ferrosilicio/SiO2,M,socio_757,757,149566.0,0.0001
silice,E2 Silicio/ferrosilicio/SiO2,M,Belgica,56,113808.0,0.0001
silice,E2 Silicio/ferrosilicio/SiO2,M,Singapur,702,29954.0,0.0
silice,E2 Silicio/ferrosilicio/SiO2,M,socio_752,752,9906.0,0.0
silice,E2 Silicio/ferrosilicio/SiO2,M,Vietnam,704,7930.0,0.0
silice,E2 Silicio/ferrosilicio/SiO2,M,Malasia,458,5310.0,0.0
silice,E2 Silicio/ferrosilicio/SiO2,M,Turquia,792,4731.0,0.0
silice,E2 Silicio/ferrosilicio/SiO2,M,Australia,36,1228.0,0.0
silice,E2 Silicio/ferrosilicio/SiO2,M,Irlanda,372,868.0,0.0
silice,E2 Silicio/ferrosilicio/SiO2,M,socio_899,899,449.0,0.0
silice,E2 Silicio/ferrosilicio/SiO2,X,Estados Unidos,842,54690647.0,0.9168
silice,E2 Silicio/ferrosilicio/SiO2,X,Guatemala,320,4153456.0,0.0696
silice,E2 Silicio/ferrosilicio/SiO2,X,Colombia,170,217521.0,0.0036
silice,E2 Silicio/ferrosilicio/SiO2,X,socio_188,188,164398.0,0.0028
silice,E2 Silicio/ferrosilicio/SiO2,X,Peru,604,159836.0,0.0027
silice,E2 Silicio/ferrosilicio/SiO2,X,socio_591,591,62818.0,0.0011
silice,E2 Silicio/ferrosilicio/SiO2,X,socio_340,340,57635.0,0.001
silice,E2 Silicio/ferrosilicio/SiO2,X,El Salvador,222,46652.0,0.0008
silice,E2 Silicio/ferrosilicio/SiO2,X,socio_192,192,32066.0,0.0005
silice,E2 Silicio/ferrosilicio/SiO2,X,Argentina,32,28340.0,0.0005
silice,E2 Silicio/ferrosilicio/SiO2,X,socio_558,558,16932.0,0.0003
silice,E2 Silicio/ferrosilicio/SiO2,X,socio_218,218,12003.0,0.0002
silice,E2 Silicio/ferrosilicio/SiO2,X,Alemania,276,8628.0,0.0001
silice,E2 Silicio/ferrosilicio/SiO2,X,Brasil,76,3713.0,0.0001
zinc,E1 Mena/concentrado,M,Corea del Sur,410,82324070.0,0.5932
zinc,E1 Mena/concentrado,M,Peru,604,56449487.0,0.4067
zinc,E1 Mena/concentrado,M,Canada,124,10163.0,0.0001
zinc,E1 Mena/concentrado,M,Estados Unidos,842,1336.0,0.0
zinc,E1 Mena/concentrado,M,Reino Unido,826,18.0,0.0
zinc,E1 Mena/concentrado,X,Corea del Sur,410,1997566386.0,0.5827
zinc,E1 Mena/concentrado,X,Japon,392,376971330.0,0.11
zinc,E1 Mena/concentrado,X,Belgica,56,364704779.0,0.1064
zinc,E1 Mena/concentrado,X,China,156,273427365.0,0.0798
zinc,E1 Mena/concentrado,X,Canada,124,221527202.0,0.0646
zinc,E1 Mena/concentrado,X,socio_757,757,116571125.0,0.034
zinc,E1 Mena/concentrado,X,Espana,724,73890397.0,0.0216
zinc,E1 Mena/concentrado,X,Peru,604,3383306.0,0.001
zinc,E2 Metal en bruto/refinado,M,Estados Unidos,842,321532225.0,0.5859
zinc,E2 Metal en bruto/refinado,M,Canada,124,105279295.0,0.1918
zinc,E2 Metal en bruto/refinado,M,Espana,724,58677303.0,0.1069
zinc,E2 Metal en bruto/refinado,M,Peru,604,46284600.0,0.0843
zinc,E2 Metal en bruto/refinado,M,Corea del Sur,410,13767924.0,0.0251
zinc,E2 Metal en bruto/refinado,M,Japon,392,1904934.0,0.0035
zinc,E2 Metal en bruto/refinado,M,Brasil,76,579517.0,0.0011
zinc,E2 Metal en bruto/refinado,M,China,156,492039.0,0.0009
zinc,E2 Metal en bruto/refinado,M,Alemania,276,277258.0,0.0005
zinc,E2 Metal en bruto/refinado,X,Estados Unidos,842,1237512482.0,0.8193
zinc,E2 Metal en bruto/refinado,X,Brasil,76,173269727.0,0.1147
zinc,E2 Metal en bruto/refinado,X,China,156,42282156.0,0.028
zinc,E2 Metal en bruto/refinado,X,Guatemala,320,31366425.0,0.0208
zinc,E2 Metal en bruto/refinado,X,Italia,380,13980883.0,0.0093
zinc,E2 Metal en bruto/refinado,X,Emiratos Arabes,784,9915302.0,0.0066
zinc,E2 Metal en bruto/refinado,X,Belgica,56,2128327.0,0.0014
zinc,E3 Semimanufacturas,M,Estados Unidos,842,59647414.0,0.9915
zinc,E3 Semimanufacturas,M,Belgica,56,367928.0,0.0061
zinc,E3 Semimanufacturas,M,Alemania,276,62456.0,0.001
zinc,E3 Semimanufacturas,M,Canada,124,48480.0,0.0008
zinc,E3 Semimanufacturas,M,socio_579,579,32716.0,0.0005
zinc,E3 Semimanufacturas,X,Colombia,170,1090731.0,0.5831
zinc,E3 Semimanufacturas,X,Estados Unidos,842,779759.0,0.4169
zinc,E4 Manufacturas,X,Estados Unidos,842,11457380.0,0.7624
zinc,E4 Manufacturas,X,Guatemala,320,748671.0,0.0498
zinc,E4 Manufacturas,X,socio_340,340,592013.0,0.0394
zinc,E4 Manufacturas,X,socio_188,188,466327.0,0.031
zinc,E4 Manufacturas,X,socio_214,214,433293.0,0.0288
zinc,E4 Manufacturas,X,El Salvador,222,383378.0,0.0255
zinc,E4 Manufacturas,X,socio_591,591,225248.0,0.015
zinc,E4 Manufacturas,X,socio_558,558,191541.0,0.0127
zinc,E4 Manufacturas,X,socio_218,218,164571.0,0.011
zinc,E4 Manufacturas,X,Colombia,170,101837.0,0.0068
zinc,E4 Manufacturas,X,Chile,152,76553.0,0.0051
zinc,E4 Manufacturas,X,Peru,604,74235.0,0.0049
zinc,E4 Manufacturas,X,Canada,124,42483.0,0.0028
zinc,E4 Manufacturas,X,Espana,724,26206.0,0.0017
zinc,E4 Manufacturas,X,China,156,21642.0,0.0014
zinc,E4 Manufacturas,X,Italia,380,7206.0,0.0005
zinc,E4 Manufacturas,X,socio_699,699,6398.0,0.0004
zinc,E4 Manufacturas,X,socio_84,84,4618.0,0.0003
zinc,E4 Manufacturas,X,Hungria,348,4335.0,0.0003
zinc,E4 Manufacturas,X,Alemania,276,33.0,0.0
